,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.00045000000000000004,0.99999918,0.9999983634542794,0.9999995899138461
Gaussian,0.0,0.0002,0.9999998,0.99999960022384,0.9999999000129959
TinyImageNet (Crop),0.1586,0.08875,0.97339538,0.9562100689639774,0.9858235801548106
TinyImageNet (Resize),0.16705738456834165,0.09012240342472735,0.9728025073896648,0.9561215200951728,0.9852944258804299
LSUN (Crop),0.2787,0.12815000000000001,0.9490392999999999,0.9179360392860239,0.9724603800612299
LSUN (Resize),0.1792,0.0937,0.97018604,0.9503967222398386,0.9843123702977629
iSUN,0.19327731092436976,0.1000672268907563,0.9668385658263305,0.949415145641012,0.9805681794903309
SVHN,0.1524661954517517,0.0891300553165335,0.9728653349723417,0.9025383845003374,0.9943321463768753
Cifar10,0.8618,0.3337,0.70837252,0.7043018561554863,0.6728553495949241
imagenet_a,0.6192,0.2084666666666667,0.8680161066666667,0.839798355809405,0.8914797328191979
imagenet_o,0.755,0.2753,0.7955714,0.9064284609488757,0.5908296552706802
All,0.2192865248746202,0.11832249881026466,0.9524119888713987,0.5594126021585042,0.9976148818737917
