,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0001240000161290312,1.0000349485042657e-06,1.975906708501874e-06,5.013787835574247e-07
Gaussian,0.0,0.0001168215904702551,4.2386059292920193e-07,8.423903211673743e-07,2.1220369228862908e-07
TinyImageNet (Crop),0.014264304484131005,0.004197032351555093,0.002283309369109935,0.0034054998289553716,0.0012915022970942944
TinyImageNet (Resize),0.017657325119232153,0.005380940148086291,0.0029612593543426173,0.004364347000214551,0.0016870075928196611
LSUN (Crop),0.009801066182002851,0.00216923614297753,0.001628253375182606,0.002441934258200279,0.0009289796999438954
LSUN (Resize),0.022340678068850102,0.007303581744870125,0.004118273183576741,0.006249585587507192,0.0022845016767000757
iSUN,0.021477230518435614,0.00658916056008238,0.00389838207855419,0.005443962853292086,0.0024206727304660297
SVHN,0.007242162226315487,0.00227568834028968,0.0012013997553684376,0.0027514975404697092,0.0002886462166828653
Cifar10,0.0033953853389563893,0.0012281085359201807,0.0017095591231617506,0.0023536124944026097,0.0017463245897281082
imagenet_a,0.007599297436532459,0.0009508211197579663,0.001173214123121305,0.001408758716795006,0.0010505720500909323
imagenet_o,0.006442708126246296,0.0015421382882219122,0.0023032318468300447,0.0012036381383432246,0.00434805948790311
All,0.008308802777891148,0.0021688006351385796,0.0013486909188283214,0.0033324007641897793,7.756458359533748e-05
