,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.000335,0.9999986160000001,0.999997256737369,0.9999993066505155
Gaussian,0.0,0.00021499999999999997,0.9999994840000002,0.9999989727856244,0.9999997417780412
TinyImageNet (Crop),0.14267000000000002,0.086,0.9750778979999998,0.9582283958535005,0.9868856146429291
TinyImageNet (Resize),0.14985220670675764,0.0884174457241871,0.9742620996840282,0.9577861381004702,0.9862460253442812
LSUN (Crop),0.25824,0.12558499999999997,0.951332224,0.921505244178278,0.9737749414746839
LSUN (Resize),0.16538,0.09423999999999999,0.9705461420000001,0.9505049808250199,0.9846151306295035
iSUN,0.17545098039215684,0.09851717086834728,0.9680364123249298,0.9505388750481277,0.9814905495815358
SVHN,0.15591195451751685,0.09150371542716654,0.9715271350645361,0.9005640935633515,0.994008650973649
Cifar10,0.8615,0.33632999999999996,0.7050850399999999,0.7003510074716486,0.6693662554282793
imagenet_a,0.5958,0.20532333333333325,0.8708166426666667,0.8429700859870687,0.8942665086228576
imagenet_o,0.7404999999999999,0.27617499999999995,0.7955025299999999,0.906153553520738,0.593344400384679
All,0.210626166855804,0.11869305597247133,0.9527593031811692,0.5581833677860932,0.9976371198912306
