,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,7.495558684981392e-05,4.123199037707483e-07,8.18630679970028e-07,2.0640074669659969e-07
Gaussian,0.0,0.0001995208761007228,9.79327253887683e-06,1.6781029677508115e-05,5.127081209335285e-06
TinyImageNet (Crop),0.011411827961549364,0.003973177924533458,0.0018048397374095435,0.002615877847941638,0.0010104376038165858
TinyImageNet (Resize),0.01466506637972674,0.004963496913920586,0.0024593502353417477,0.003551538049843568,0.0013835584268996432
LSUN (Crop),0.0067441688958684905,0.002227503567673914,0.001370776309096651,0.0021188219308810813,0.0007408572481966629
LSUN (Resize),0.017996903148708665,0.005220411340114878,0.0030707691265056633,0.004422403699278591,0.0017267825814613763
iSUN,0.01489806400237423,0.004899378868313855,0.0026929606960619016,0.00358604854007258,0.001680064017128202
SVHN,0.0055688202255018155,0.002211181775624974,0.0008976520669769716,0.00254892162073618,0.0001963961483591082
Cifar10,0.003168756919676865,0.001189011024339138,0.001261165894556785,0.001893229506886135,0.0011876300531266082
imagenet_a,0.004900825743756513,0.0010146689452449186,0.0010466239668860194,0.0012518494104218425,0.0009788003459138958
imagenet_o,0.004832900578327679,0.0016185257044606992,0.0013706894044043104,0.0006855831012313033,0.0024073739369990313
All,0.0065845693433710765,0.0018242978892939203,0.0010688483474606367,0.0029313357795415773,6.107687577912428e-05
