,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0009710303805751926,0.0001020191041717235,0.00012495083365785288,7.106542713443151e-05
Gaussian,0.0,0.001140010964859549,9.810631017422849e-05,0.0001327447409929303,6.169203238370343e-05
TinyImageNet (Crop),0.02380354805485939,0.007063929501346972,0.003525784793804647,0.004691447178731532,0.002240600512209419
TinyImageNet (Resize),0.020798043197726282,0.007553947367142698,0.0034021182393288462,0.004711979623077297,0.002131364135773074
LSUN (Crop),0.01252519061731198,0.0034943668954475838,0.0017871455417184249,0.002535933749058784,0.0010507292620846036
LSUN (Resize),0.013419075974149637,0.006485948272997553,0.002554092859377662,0.003552446658047646,0.0015727452487766852
iSUN,0.015987441029784027,0.006775528705599428,0.0027835345250447796,0.0035774382575450977,0.00190846851461253
SVHN,0.004662586018337669,0.0030864669379004183,0.0007665671706964123,0.002643257072616356,0.00016043579392336399
Cifar100,0.015552697515222239,0.002860139856720282,0.0021998917314449726,0.0023266688988928686,0.0029222626892515765
imagenet_a,0.01894692469915778,0.0030336794674307834,0.0022802242201498736,0.0023682769750773764,0.0021040902232043746
imagenet_o,0.015504515471307056,0.00504837845253305,0.0033890585766699318,0.0015726516374595725,0.007871154076774467
All,0.009440635043900246,0.002987566012364569,0.001445605921350219,0.005619703285715569,8.090108541236684e-05
