,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0031999999999999997,0.9995068,0.999459055387306,0.9989513431112281
Gaussian,0.0,0.0023,0.99968064,0.9996722162568399,0.9991658256804945
TinyImageNet (Crop),0.0647,0.0536,0.9868407000000001,0.9797740185294125,0.9921556636204847
TinyImageNet (Resize),0.05932117011517684,0.054243950667617974,0.9873894811945776,0.9800389061654815,0.9924327762438387
LSUN (Crop),0.0573,0.05075,0.9897906600000002,0.9828339988847937,0.994602807919507
LSUN (Resize),0.0391,0.044,0.9909301599999999,0.9861791748077728,0.9942542286281151
iSUN,0.034397759103641457,0.04205854341736695,0.9918347114845938,0.9883216643385988,0.9943903448438944
SVHN,0.02696681007990166,0.029886355255070683,0.9945494314689614,0.9711159669538326,0.9989760064239772
Cifar100,0.6382,0.2117,0.861273,0.8731262189294676,0.8440083629694546
imagenet_a,0.4474666666666667,0.1515,0.9211375466666667,0.9068447813235665,0.9376804493872064
imagenet_o,0.6275,0.2014,0.8739657,0.9486859531391753,0.7166225773029439
All,0.10070651974960647,0.0740580297982941,0.9797912600212322,0.7819746448581057,0.9990146113209228
