,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0007649999999999801,0.999790114,0.9998291131091814,0.9996961935558941
Gaussian,0.0,0.0003249999999999999,0.999905408,0.9998937709146901,0.9998777979607834
TinyImageNet (Crop),0.03873,0.04349499999999999,0.991675826,0.9864039764546428,0.9952247195076955
TinyImageNet (Resize),0.03864030170217099,0.042795386810722605,0.9922215268576087,0.9868832070433031,0.9955480820882364
LSUN (Crop),0.04544,0.04671499999999999,0.991520968,0.9855074341393648,0.995546101613258
LSUN (Resize),0.01948,0.033094999999999986,0.9950071280000001,0.9918848099871393,0.9969852417891983
iSUN,0.01927170868347334,0.031750140056022357,0.9952701915966389,0.9928522930075125,0.9969201541139914
SVHN,0.029033497234173263,0.03158554701905343,0.9942778065457898,0.9701779970358488,0.9989223857502425
Cifar100,0.62682,0.20421,0.8684239679999999,0.8796061676911044,0.8519965904903948
imagenet_a,0.42821333333333333,0.14447666666666664,0.9269883226666666,0.9133921278913564,0.9424538857846041
imagenet_o,0.59735,0.18951999999999997,0.8855773299999999,0.9536925726175325,0.7402288739362238
All,0.09045466193213013,0.06946450012812533,0.9824028359629535,0.7962998787233269,0.9991547502009933
