,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.000447953609011954,1.0041796430593615e-05,7.008365770589843e-06,1.4275493984332517e-05
Gaussian,0.0,0.0001272614901264864,1.0163291954906337e-06,7.695494766203227e-07,1.3339695368582187e-06
TinyImageNet (Crop),0.0005496743035653021,0.0024102953944980937,0.0002965405992066176,0.00021361858591840854,0.0004010668046211259
TinyImageNet (Resize),0.0009155747360628973,0.002286374190543619,0.00029509051993545355,0.0002128466171300986,0.00039792420947817777
LSUN (Crop),0.0023979460577752782,0.0031904191491390547,0.0005539230305205005,0.00040305177960060404,0.0007269731399774497
LSUN (Resize),0.0012778238000600865,0.003147958808761485,0.0003629415205812066,0.00026533616962188736,0.00048606666418604867
iSUN,0.0007785709757764097,0.0024419526989361445,0.0002718604664159108,0.00017954038092342936,0.0004024210587738499
Cifar10,0.00940215902014,0.00435840655160453,0.0017078672276735634,0.0006152576641405641,0.0047738641470503815
Cifar100,0.010635964876963444,0.00336593925265291,0.001647276278529227,0.0006123114541091163,0.004285142149837047
imagenet_a,0.005910618238165395,0.0036168930099701145,0.0011614605066445306,0.0006265870944832095,0.0020915259494132805
imagenet_o,0.009374712987606606,0.0031915122943186455,0.0019093788604617498,0.00031079055753943804,0.009370493584299385
All,0.002502887554496851,0.002973104589938249,0.0005301666879428884,0.002366313413586838,8.308488182792995e-05
