,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0000 ± 0.0000,0.0009 ± 0.0007,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
Gaussian,0.0000 ± 0.0000,0.0002 ± 0.0002,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
TinyImageNet (Crop),0.0016 ± 0.0009,0.0122 ± 0.0039,0.9991 ± 0.0005,0.9994 ± 0.0003,0.9988 ± 0.0006
TinyImageNet (Resize),0.0017 ± 0.0015,0.0118 ± 0.0037,0.9992 ± 0.0005,0.9994 ± 0.0003,0.9989 ± 0.0006
LSUN (Crop),0.0074 ± 0.0039,0.0216 ± 0.0051,0.9976 ± 0.0009,0.9982 ± 0.0007,0.9968 ± 0.0012
LSUN (Resize),0.0019 ± 0.0021,0.0108 ± 0.0051,0.9993 ± 0.0006,0.9995 ± 0.0004,0.9990 ± 0.0008
iSUN,0.0015 ± 0.0013,0.0098 ± 0.0039,0.9994 ± 0.0004,0.9996 ± 0.0003,0.9991 ± 0.0006
Cifar10,0.0285 ± 0.0152,0.0372 ± 0.0070,0.9922 ± 0.0028,0.9972 ± 0.0010,0.9771 ± 0.0077
Cifar100,0.0574 ± 0.0172,0.0505 ± 0.0054,0.9882 ± 0.0027,0.9956 ± 0.0010,0.9690 ± 0.0069
imagenet_a,0.0238 ± 0.0095,0.0350 ± 0.0058,0.9938 ± 0.0019,0.9967 ± 0.0010,0.9885 ± 0.0034
imagenet_o,0.0910 ± 0.0151,0.0643 ± 0.0051,0.9831 ± 0.0031,0.9973 ± 0.0005,0.9132 ± 0.0151
All,0.0105 ± 0.0040,0.0239 ± 0.0048,0.9974 ± 0.0009,0.9866 ± 0.0038,0.9996 ± 0.0001
