,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0009348125384142,0.9999761808543333,0.9999833691539626,0.999966447968248
Gaussian,0.0,0.00021829133374306548,0.9999985671481253,0.9999989130058315,0.9999981212500637
TinyImageNet (Crop),0.00165,0.0121698125384142,0.9991167109711127,0.9993593534136822,0.998793428269859
TinyImageNet (Resize),0.00169197839160124,0.011797816626057913,0.9992220014199533,0.9994390056053726,0.9989376306010932
LSUN (Crop),0.007430000000000001,0.02163646896127839,0.9975518177627537,0.9981983883420675,0.9967592376843948
LSUN (Resize),0.0018599999999999999,0.01076762446220032,0.9992830554701906,0.9994785049136574,0.9990251465293797
iSUN,0.00146778711484587,0.009759418702945182,0.999390029767285,0.9995989629098643,0.9990825239478396
Cifar10,0.028500000000000004,0.03717964966195448,0.9921844698832206,0.9971874131139208,0.9770971749980747
Cifar100,0.05736,0.05052054701905342,0.9882165258143824,0.9955757376414164,0.9689668576360286
imagenet_a,0.02375999999999997,0.0349972792460561,0.9938438024994879,0.9966709411016683,0.9885227119770692
imagenet_o,0.09104999999999999,0.06432481561155497,0.9831427665949601,0.9972917951031176,0.9131708149033422
All,0.010525182465206891,0.02392220635846872,0.9973741491465324,0.9865584323328779,0.9995967730204963
