,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0003804855562384757,0.9999904041180087,0.9999932169978268,0.9999867414033153
Gaussian,0.0,3.8414259373079284e-05,0.9999998924400738,0.9999999174520904,0.9999998599229348
TinyImageNet (Crop),0.001,0.00904019668100799,0.9995071296865397,0.999640825800566,0.9993224122512696
TinyImageNet (Resize),0.0005096320456630313,0.008611473818914422,0.9996124274917638,0.9997205061980408,0.9994654168399364
LSUN (Crop),0.0041,0.017297480024585126,0.9983179164105717,0.9987559856653031,0.9977659606709091
LSUN (Resize),0.0002,0.006537768899815612,0.9997596727105101,0.9998266572666719,0.9996651110488941
iSUN,0.0004481792717086835,0.006453673048813871,0.9997522549277855,0.9998379766542367,0.9996204351066169
Cifar10,0.0156,0.031041303011677936,0.9944472649047327,0.9980044773870694,0.9833948411187793
Cifar100,0.0414,0.045607682851874616,0.9904695144437615,0.9964191736991568,0.9747290804538906
imagenet_a,0.015466666666666667,0.030065867650071708,0.9954015263265725,0.9975158635711522,0.991308306397567
imagenet_o,0.076,0.059163644744929314,0.9859762599877075,0.9977544921028743,0.9266713470205522
All,0.006969944240446077,0.01988413246555941,0.9980935720020898,0.9898180150210746,0.9997093571452673
