,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0002573503137748233,0.0022600954084322526,0.0002882540430409084,0.000203119987169019,0.000397493120866176
Gaussian,0.0002218352902493199,0.002481111260940504,0.0002763970455073269,0.00019659344128500285,0.00037749887107016645
TinyImageNet (Crop),0.008570981618461211,0.0057383203375992115,0.0019652564109596685,0.0012981679731882607,0.003049565334706578
TinyImageNet (Resize),0.00874119753641617,0.005411638654930435,0.001957429660907985,0.0012817618479443382,0.003039259006688227
LSUN (Crop),0.01335415906390215,0.006834157699101783,0.002437927817680373,0.001711630317659187,0.0034487047709973505
LSUN (Resize),0.014787308296508865,0.007283888910586221,0.0028515260611272635,0.0018953708371721974,0.004434907641457154
iSUN,0.011039415638491444,0.00673250866779256,0.002287946202685044,0.0013683140146814275,0.003923834096827443
Cifar10,0.015738987944083314,0.005249070603336872,0.002767171250333176,0.0009975195887371815,0.008834387727684747
Cifar100,0.01607439484596543,0.004739832457763977,0.0028751196893747194,0.0010865081378909301,0.008626810209699607
imagenet_a,0.014558954820605928,0.005632693611281943,0.0027037114263463885,0.0014185091221004986,0.00573932694385657
imagenet_o,0.018932524607141014,0.004298924860058501,0.0030704794290465124,0.0005045515285115734,0.01813075994248855
All,0.00976900137867512,0.005342872777964821,0.0019539010916667715,0.006582098479797065,0.00034647389394090077
