,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0002 ± 0.0004,0.0058 ± 0.0036,0.9997 ± 0.0005,0.9998 ± 0.0003,0.9996 ± 0.0006
Gaussian,0.0001 ± 0.0004,0.0050 ± 0.0040,0.9998 ± 0.0004,0.9998 ± 0.0003,0.9997 ± 0.0006
TinyImageNet (Crop),0.0085 ± 0.0138,0.0200 ± 0.0093,0.9973 ± 0.0032,0.9981 ± 0.0021,0.9962 ± 0.0049
TinyImageNet (Resize),0.0103 ± 0.0141,0.0224 ± 0.0087,0.9971 ± 0.0032,0.9980 ± 0.0021,0.9959 ± 0.0049
LSUN (Crop),0.0184 ± 0.0215,0.0293 ± 0.0110,0.9954 ± 0.0039,0.9967 ± 0.0028,0.9938 ± 0.0056
LSUN (Resize),0.0157 ± 0.0239,0.0251 ± 0.0118,0.9964 ± 0.0046,0.9974 ± 0.0031,0.9949 ± 0.0072
iSUN,0.0102 ± 0.0178,0.0202 ± 0.0109,0.9973 ± 0.0037,0.9983 ± 0.0022,0.9958 ± 0.0063
Cifar10,0.0375 ± 0.0254,0.0412 ± 0.0085,0.9908 ± 0.0045,0.9966 ± 0.0016,0.9745 ± 0.0143
Cifar100,0.0485 ± 0.0259,0.0468 ± 0.0076,0.9891 ± 0.0046,0.9959 ± 0.0018,0.9714 ± 0.0139
imagenet_a,0.0290 ± 0.0235,0.0371 ± 0.0091,0.9923 ± 0.0044,0.9958 ± 0.0023,0.9855 ± 0.0093
imagenet_o,0.0720 ± 0.0305,0.0566 ± 0.0069,0.9849 ± 0.0050,0.9975 ± 0.0008,0.9196 ± 0.0293
All,0.0160 ± 0.0158,0.0276 ± 0.0086,0.9960 ± 0.0032,0.9818 ± 0.0106,0.9994 ± 0.0006
