,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.00016,0.00584679471419786,0.9997098647818069,0.9997896553028103,0.9996081910460484
Gaussian,0.00013,0.00504972649047322,0.9997686985248924,0.9998319592973977,0.9996886394967317
TinyImageNet (Crop),0.00851,0.0200057990165949,0.9973206215427167,0.9981338298116091,0.9961642507291117
TinyImageNet (Resize),0.010253796758740132,0.022350564889691088,0.997123510814129,0.9980034211969612,0.995895943510926
LSUN (Crop),0.018410000000000003,0.029261493546404376,0.995399708819914,0.9966747744440685,0.9938047733791799
LSUN (Resize),0.015679999999999996,0.025108764597418516,0.9963738045482483,0.9974307645085716,0.9948875947236004
iSUN,0.01018487394957978,0.02017841432823892,0.9973426198998343,0.9983271396884476,0.9957740378495507
Cifar10,0.03754,0.041186293792255635,0.99081918100799,0.9966043541321428,0.974461658125134
Cifar100,0.04854,0.04682425937307924,0.9891469821757835,0.9958653884520388,0.9714324897425707
imagenet_a,0.02895999999999997,0.03713656217988111,0.9922648309772588,0.9958071842856793,0.9854765062049167
imagenet_o,0.07200000000000002,0.05657123540258137,0.9848513790719116,0.9975443891923297,0.9195967487617326
All,0.01600253864635744,0.027605950633648728,0.99598019443052,0.9817831263627331,0.9993537478166988
