,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.006518869084204057,0.9997861939151813,0.9998397928921653,0.9997189822218523
Gaussian,0.0001,0.006469483712354026,0.9997843577135833,0.9998375366473684,0.9997182819478717
TinyImageNet (Crop),0.0078,0.02293463429625077,0.9971841579594344,0.9979884318745307,0.9961749272651179
TinyImageNet (Resize),0.01090612577718887,0.025354491844227126,0.9968105710528874,0.9977402408965228,0.9956433783946277
LSUN (Crop),0.021,0.03414738783036263,0.9948554778733866,0.996260172494662,0.9932036325665148
LSUN (Resize),0.0173,0.03054861708666257,0.9957649047326367,0.9969113444647344,0.9944118810264548
iSUN,0.009859943977591037,0.025379304764315068,0.9969812116610627,0.9980414867214481,0.9954871026711816
Cifar10,0.0374,0.0435241548862938,0.9905122157344808,0.9964766542791303,0.9744010036259441
Cifar100,0.05,0.049386908420405655,0.9887612323294406,0.9957220394356913,0.971106869053953
imagenet_a,0.030133333333333335,0.03985625896332719,0.9919438639623027,0.9956001597969507,0.9853412215730359
imagenet_o,0.0695,0.057169176398279044,0.984570835894284,0.9975127620763569,0.9187892414801492
All,0.01653520105172492,0.030208094844153356,0.9957002203232528,0.9799941301295673,0.9993253911467255
