,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,1.0,0.33344999999999997,0.50147197,0.5791286547023209,0.6004770668358916
Gaussian,1.0,0.46964999999999996,0.15497468,0.2805287440219575,0.4857901330966172
TinyImageNet (Crop),0.6073,0.23095,0.84784534,0.7572250231460412,0.908874236218095
TinyImageNet (Resize),0.7722964019977576,0.2862221995719091,0.7822326470288452,0.6799460085857371,0.8564428467317923
LSUN (Crop),0.4806,0.1779,0.9011076800000001,0.8463848422318742,0.9410636250858861
LSUN (Resize),0.7797,0.27595000000000003,0.7953990900000001,0.7162658358147547,0.8608029998822617
iSUN,0.8180392156862745,0.2948436974789916,0.7724791484593838,0.7045635124067704,0.8274556283864634
SVHN,0.6678318992009834,0.19509883220651505,0.8772909227105101,0.7419400639109789,0.9632261086832801
Cifar10,0.84,0.313,0.74056862,0.7392934433318015,0.7059857032918171
All,0.7531372784860877,0.31822512228369815,0.732873555649106,0.16804672415567698,0.9806753742568819
