,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.001,0.99997056,0.9999469175462625,0.9999848511485405
Gaussian,0.0,0.00065,0.9999838600000001,0.9999698535483128,0.9999917827460052
TinyImageNet (Crop),0.1614,0.09204999999999999,0.9715741600000001,0.9530407518633321,0.9848446841201282
TinyImageNet (Resize),0.1808174498012435,0.09863150545306289,0.9689588013454287,0.9501403713692882,0.9831408442122431
LSUN (Crop),0.2504,0.1237,0.9521131799999999,0.9216020299871295,0.9743720719849647
LSUN (Resize),0.2105,0.10919999999999999,0.9624625600000001,0.9387966664207129,0.9800006495221489
iSUN,0.21131652661064426,0.11072436974789915,0.9611422296918768,0.9415797507665796,0.9770082075947715
SVHN,0.17720497848801475,0.09731180086047941,0.9679023432698217,0.8933183558976375,0.9930855783430454
Cifar10,0.861,0.33499999999999996,0.70616156,0.6967532272239236,0.6692241250546949
imagenet_a,0.6016,0.20603333333333335,0.8701909866666668,0.8426604043648034,0.8923138116576753
imagenet_o,0.736,0.27344999999999997,0.7989877,0.9070642076017793,0.597035477297266
All,0.2268276165025442,0.12316490829886151,0.9499335743310028,0.5495301885122806,0.9974666916115845
