,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,SVHN,Cifar10,All
Max_out,0.86606999,0.45683464999999995,0.8132543099999999,0.7951324839465905,0.7526936499999999,0.7795426700000001,0.7774962128851541,0.7958196296865395,0.77015218,0.7616839938657686
Max_relu_32,0.0021886400000000004,1.8199999999999993e-06,0.08375761000000001,0.033077484456222606,0.55252506,0.0200276,0.03371941736694678,0.9482068454210204,0.5300575999999999,0.34624814469569404
Max_relu_0,0.00058928,0.0,0.05021813,0.015271898889002145,0.49610399,0.006634719999999993,0.01206395518207283,0.9390662876459742,0.51029112,0.3286644394996392
Max_relu_1,0.0,0.0,0.025652940000000006,0.0067915197227601636,0.48605453,0.002046719999999989,0.006457411764705878,0.9710011716349108,0.49937677999999996,0.3311261356346724
Max_relu_2,5.429999999999995e-05,0.0,0.06540090000000001,0.0213548058301906,0.5791824999999999,0.009913499999999995,0.020138464985994406,0.9831557621389059,0.47753164000000003,0.34997122123326113
Max_relu_3,1.2139999999999996e-05,0.0,0.024023310000000003,0.007273468555702786,0.43481230000000004,0.0025580799999999895,0.006585142857142854,0.9670752842655194,0.5071040800000001,0.3253008469649587
Max_relu_4,1.3819999999999988e-05,0.0,0.02126816,0.0053404138212210794,0.43100762,0.0020442399999999945,0.005702969187675069,0.9889848110018439,0.50208208,0.3297880602998958
Max_relu_5,5.002000000000002e-05,0.0,0.04473147,0.018209336459076547,0.49091210999999996,0.012052019999999997,0.01805509243697479,0.9626758835279655,0.49963769999999996,0.3345342875471093
Max_relu_6,0.0001601399999999999,1.9999999999997797e-08,0.05784137,0.019377729079604528,0.6232625999999999,0.01383382,0.022087742296918764,0.9505635448678549,0.49446414,0.34635973859353697
Max_relu_7,0.00602842,0.00119247,0.32990834,0.2507114055651819,0.7385728499999998,0.23813884999999999,0.2571024761904762,0.8471465657652122,0.49006207999999996,0.4249459576216823
Max_relu_8,0.0068255699999999996,0.0007544599999999999,0.5529670099999999,0.489594006727143,0.7930470000000001,0.49217522999999996,0.5233188459383753,0.8970341733251382,0.5009846,0.5391331569240638
Max_relu_9,0.0147609,0.00414562,0.37716441,0.29631680766486596,0.7747287600000001,0.27961223,0.3030029579831932,0.8762544022741242,0.49528912,0.45508264172881085
Max_relu_10,0.74933052,0.54410108,0.7100633900000001,0.7121082662317807,0.82791366,0.6360962400000001,0.6865440896358543,0.8750642248002457,0.5200015,0.7333877445673963
Max_relu_11,0.015564199999999999,0.00406522,0.35630323,0.2769650086637448,0.7674453000000001,0.25609821,0.2756055798319328,0.8647819452980945,0.48098648,0.4419130492743164
Max_relu_12,0.6706890099999999,0.4756668700000001,0.6961925999999999,0.696881204770156,0.8520010899999999,0.60818957,0.6525286610644258,0.8648874385371852,0.46981244,0.707161847486168
Max_relu_13,0.02394688,0.00686366,0.38166712999999997,0.3016890938742228,0.78475493,0.28994222000000003,0.3058230476190476,0.8523315842040565,0.48671400000000004,0.4528762368695374
Max_relu_14,0.15642298999999998,0.06545672,0.53682355,0.4996494139231475,0.78730065,0.47994922,0.5044941400560223,0.7673352220344192,0.5032241199999999,0.5227687535081389
Max_relu_15,0.14233385999999998,0.06349262,0.28453127999999994,0.213095770054021,0.7335092400000001,0.25320452000000004,0.2396405602240896,0.7876912108174554,0.52983152,0.4225255091813006
Max_relu_16,0.25357794,0.0519235,0.39513015,0.3341929263072062,0.7575066500000001,0.42055831,0.36341334453781515,0.8285632145052244,0.514615,0.495664231015957
Max_relu_17,0.25149892999999995,0.11561192,0.33058175,0.26777326470288454,0.74128394,0.31127005,0.30057177591036416,0.8428072871850031,0.5373614600000001,0.4754927341432123
Max_relu_18,0.69788863,0.38200627,0.65403422,0.6151048415044338,0.84699493,0.65185994,0.6354799663865547,0.925484138752305,0.4975695,0.7077854903375832
Max_relu_19,0.35166745,0.18161966,0.41464469000000004,0.3592228111303639,0.77231095,0.40027604,0.3931027114845938,0.8611431853103871,0.52709362,0.5341463405099831
Max_relu_20,0.54942503,0.40697414,0.73282139,0.7172261135460198,0.8434611399999999,0.69877921,0.7244041904761904,0.84957133143823,0.5073482,0.7063327299334456
Max_relu_21,0.48057236,0.29204269,0.48214396,0.43076608908368164,0.80350321,0.46984572999999996,0.4649061960784314,0.8652795098340504,0.5437023400000001,0.5903704724961911
Max_relu_22,0.90965417,0.89731985,0.81576642,0.8071997961471816,0.87907328,0.80718103,0.8317046834733893,0.8370158343577135,0.5192346999999999,0.8301030260203672
Max_relu_23,0.57395505,0.39220736999999994,0.56324081,0.520700356742432,0.82474328,0.5509829900000001,0.5524779159663865,0.8503107367854947,0.55843014,0.6416705897682624
Max_relu_24,0.95321179,0.9457325000000001,0.8182400599999999,0.8132557741310774,0.8784711799999999,0.80157473,0.8268844033613445,0.9130225645359556,0.51527802,0.8587452068799615
Max_relu_25,0.57235755,0.3951654,0.57790169,0.5376296809703395,0.8253362999999999,0.55761933,0.5679544649859944,0.8577399008912108,0.55716722,0.648925530230134
Max_relu_26,0.54690903,0.59594116,0.63930558,0.6178477219447558,0.781013,0.63388431,0.6484960000000001,0.7706416180086048,0.55568024,0.6681481577259241
Max_relu_27,0.8425689599999999,0.8893169900000001,0.72972652,0.6878806747528284,0.8297143100000001,0.7094852399999999,0.7201864985994397,0.7626836816226183,0.6137683199999999,0.7628458543821666
Max_relu_28,0.9342060400000001,0.9084851700000001,0.7033421699999999,0.631690480073387,0.78085252,0.6521008100000001,0.6284863529411765,0.7840642132759681,0.6202148,0.7528311352337422
Max_relu_29,0.95621697,0.93769138,0.79373574,0.7431301192538988,0.83851414,0.76710363,0.76048681232493,0.8303206899200983,0.6775045599999999,0.8220395718065913
Max_relu_30,0.89012247,0.9084222700000001,0.81039929,0.7998300988686169,0.7985451299999999,0.7960543099999999,0.799077131652661,0.7904845805162877,0.67071486,0.8113403105204073
Max_relu_31,0.6712649500000001,0.48322834,0.7721901,0.7815489552543065,0.6454219999999999,0.7719272699999999,0.7651931428571429,0.6753050745236632,0.7010784999999999,0.6918289070643893
Min_out,0.16252956000000002,0.09910788,0.51595293,0.5768538579145857,0.43579415,0.57558559,0.5599901400560224,0.4063675514751076,0.53065946,0.4187613633630022
Min_relu_32,0.00153872,5.497999999999999e-05,0.3317027,0.20629061257771888,0.65796304,0.11329432,0.15016207282913166,0.8431284227105103,0.51899238,0.3904351325074172
Min_relu_0,0.00270418,4.999999999999893e-07,0.08911606,0.03369462847823872,0.54341443,0.01636404,0.030571450980392156,0.927413721573448,0.52060428,0.33943624909790715
Min_relu_1,0.00012154,0.0,0.044336020000000004,0.011587809601467738,0.56075385,0.0060145599999999935,0.012358252100840336,0.9710922403196066,0.48464532,0.3411809888942346
Min_relu_2,0.0,0.0,0.06036156,0.01660212006930996,0.58183688,0.0038749199999999996,0.012028851540616243,0.9775497387830362,0.46838451999999997,0.34600745629861285
Min_relu_3,4.5999999999999374e-07,0.0,0.02366978,0.005939048007338697,0.46530996,0.00226703999999999,0.006357803921568622,0.9909494045789796,0.4990537,0.3339662737551119
Min_relu_4,1.9999999999997797e-08,0.0,0.022679320000000003,0.005327662827438592,0.45906499,0.0018763199999999997,0.005026599439775917,0.9928024124154886,0.48058246000000004,0.33258041957341034
Min_relu_5,4.9399999999999934e-05,0.0,0.045342629999999995,0.012675772092549182,0.5474043800000001,0.004397759999999987,0.010278072829131651,0.9885181584204056,0.45612458,0.34281295706038006
