,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,5e-05,0.9999998800000001,0.9999997599279504,0.9999999400359785
Gaussian,0.0,0.00035,0.99999942,0.9999988407350158,0.99999971008894
TinyImageNet (Crop),0.1169,0.07985,0.9798216599999999,0.9641427020692988,0.98982742669778
TinyImageNet (Resize),0.11752114972989501,0.07848492508408929,0.9805265722148611,0.9656165676109237,0.9900357069359205
LSUN (Crop),0.358,0.15125,0.93313946,0.8986931038514137,0.9627633659592564
LSUN (Resize),0.1333,0.086,0.9779915199999998,0.9618679137574176,0.9888054214606655
iSUN,0.1350140056022409,0.08822240896358544,0.9764782072829132,0.9615547112180602,0.9869241635470618
SVHN,0.32905654578979715,0.13277851874615856,0.9432955823601721,0.8453345666795946,0.9869398023085246
Cifar10,0.8464,0.3042,0.7470327600000001,0.7539964368463818,0.7069733026697891
All,0.21287386737230374,0.11752144174484805,0.9575772592414401,0.6479260400494009,0.9976721116772289
