,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0188,0.0342,0.99465348,0.9916598232978348,0.9969983435987391
Gaussian,0.0977,0.0569,0.98161064,0.9763318732847979,0.9879957387362319
TinyImageNet (Crop),0.527,0.20055,0.8878205000000001,0.8430153395771257,0.93119080410008
TinyImageNet (Resize),0.5908673937417185,0.21731223116909593,0.8671927836102333,0.8201951045433841,0.9156414408066536
LSUN (Crop),0.3831,0.1578,0.9273070800000001,0.8934515649706222,0.958515067383114
LSUN (Resize),0.5955,0.21250000000000002,0.8699871399999999,0.8233413006784039,0.9181958428352792
iSUN,0.6291316526610644,0.21640364145658264,0.8639157647058824,0.8296442716516599,0.9026963685546714
SVHN,0.10537031346035648,0.07618644744929318,0.9812909726490473,0.9303430122854117,0.9962160139123446
Cifar10,0.831,0.30979999999999996,0.7420066,0.7406430898182661,0.7049931014928171
All,0.34611298211851493,0.16462602036725202,0.9230140385694813,0.5448636448480652,0.9954533346606234
