,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0,1.0,1.0,1.0
Gaussian,0.0,0.00065,0.9999982000000001,0.9999964079108501,0.9999991000111805
TinyImageNet (Crop),0.0857,0.06615,0.9851071600000001,0.9743171590924083,0.9922871752320881
TinyImageNet (Resize),0.09316073794720212,0.06878089899092854,0.9835053103659158,0.9711562044103855,0.9914399373114877
LSUN (Crop),0.1701,0.09384999999999999,0.97123268,0.9538343606730754,0.9844648253399835
LSUN (Resize),0.0956,0.07045,0.9835463799999998,0.9715260877444644,0.9915067377386426
iSUN,0.10061624649859945,0.07151288515406162,0.9830104649859944,0.97299948729839,0.9902764974734863
SVHN,0.1142440073755378,0.07970749846342962,0.9785263598647818,0.9167654748719405,0.9956905427497541
Cifar10,0.882,0.32430000000000003,0.71684784,0.7218717041252382,0.6684848726078764
All,0.12739555769384972,0.08698346564028546,0.9710390165183225,0.6646069668312152,0.9984747374089051
