,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.3847,0.10225000000000001,0.9471808599999999,0.9406162203648003,0.9529687112252477
Gaussian,0.9792,0.2011,0.7866933,0.8052665170465027,0.7828795809418885
TinyImageNet (Crop),0.6556,0.2274,0.85379486,0.8039267300100601,0.9039767714320369
TinyImageNet (Resize),0.7386606869839976,0.25187965548873714,0.8207756599734992,0.7695466408658898,0.8750303415649596
LSUN (Crop),0.4147,0.16465,0.92173728,0.8863409473905817,0.9550786579763468
LSUN (Resize),0.7607,0.24955,0.81956548,0.7672470619154269,0.8729208580596001
iSUN,0.7928291316526611,0.25182941176470586,0.8126866106442577,0.7785444382910333,0.8501924568076971
SVHN,0.12334818684695759,0.08057735095267363,0.9784319913952059,0.9222478847765208,0.9955930255378076
Cifar10,0.8324,0.3062,0.74788456,0.7529677356651385,0.7090642567714711
All,0.5376974581027985,0.20741059257477346,0.8800972275679576,0.4937285561826069,0.992148182042403
