,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.1707,0.056999999999999995,0.9622323199999999,0.9659326967684337,0.944381746621191
Gaussian,0.0128,0.0308,0.9804012799999999,0.9827428533054976,0.9710715391776761
TinyImageNet (Crop),0.3786,0.13505,0.9305615900000002,0.8939955167315256,0.9550760040378568
TinyImageNet (Resize),0.4053613291203751,0.14161924370604423,0.9245627764753848,0.8869463306140886,0.9494315057620024
LSUN (Crop),0.3434,0.12495,0.93919065,0.9060796622678865,0.9625450754264802
LSUN (Resize),0.3713,0.13325,0.92892345,0.8880563640148704,0.9543280257005564
iSUN,0.3798319327731092,0.13696582633053223,0.9278258375350139,0.8964167515054239,0.9482680548260942
SVHN,0.520858942839582,0.14533887523048555,0.91333051244622,0.7947878947196596,0.9727622732883827
Cifar100,0.56,0.1928,0.8727656000000001,0.8676076471732231,0.8568709519870563
All,0.36578862962072006,0.13066697939218988,0.9312051138641648,0.6166530637352476,0.9948342405255608
