,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0001,0.9999933000000001,0.9999874414245549,0.9999965931218074
Gaussian,0.0,0.0001,0.99999994,0.9999998800719568,0.9999999699999997
TinyImageNet (Crop),0.0218,0.03345,0.9950225000000001,0.9912861093912958,0.9973056055252285
TinyImageNet (Resize),0.02313729487310162,0.032935195189073486,0.995411966160432,0.9917161432741013,0.9975613430185177
LSUN (Crop),0.035,0.042249999999999996,0.9930011599999999,0.9878036119212887,0.9963559816379428
LSUN (Resize),0.0096,0.0233,0.9975302200000001,0.9956945582705132,0.9986430078787505
iSUN,0.010084033613445379,0.022900840336134452,0.9974671820728291,0.9959384025350261,0.9984827476810254
SVHN,0.03238322065150584,0.03488177627535341,0.9937573217578365,0.9682207272524498,0.9988202240535864
Cifar100,0.6026,0.197,0.87679424,0.8868498176874036,0.861668426196315
All,0.04848247935209687,0.04628211049635154,0.990070106647422,0.8603937163321121,0.999491479438877
