,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.9951,0.1306,0.8596068400000001,0.881793830258682,0.8284662878579276
Gaussian,0.9992,0.14304999999999998,0.8341755,0.8625862771296781,0.8039930737126769
TinyImageNet (Crop),0.5649,0.13775,0.9188898200000001,0.9019812591178293,0.9409328339607275
TinyImageNet (Resize),0.6599734991336256,0.15261750076444808,0.901129038833962,0.8815825138836157,0.9203906121663268
LSUN (Crop),0.1608,0.0825,0.97610344,0.9633000785296483,0.9869229415298224
LSUN (Resize),0.6322,0.13875,0.91176916,0.9000637058930782,0.9256144459789277
iSUN,0.591484593837535,0.13433977591036414,0.918355137254902,0.9122019740593124,0.9283747377536571
SVHN,0.04417639827904118,0.04527931776275353,0.9916830900430239,0.9643342468666045,0.9983616233822501
Cifar100,0.5316,0.1656,0.90271364,0.9096775472904957,0.8858736818083479
All,0.4919813968406704,0.135044286745249,0.9258660752946837,0.7315968481393959,0.9950660662854652
