,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.00235,0.99995952,0.9999215927826832,0.9999796107764751
Gaussian,0.0,0.00145,0.99998758,0.9999755468957925,0.9999937691255163
TinyImageNet (Crop),0.0662,0.0534,0.9891742199999998,0.981609817428106,0.9943407014295966
TinyImageNet (Resize),0.055957598613800834,0.05184587707675059,0.9900430944857813,0.9825950734618333,0.9948153562148893
LSUN (Crop),0.1327,0.0709,0.9808653399999999,0.9703007763639311,0.9895799152130406
LSUN (Resize),0.0574,0.0508,0.9905142400000001,0.9839627929450426,0.9950431966300688
iSUN,0.05523809523809524,0.051356022408963586,0.9908612885154061,0.9858175865951742,0.9947033307031462
SVHN,0.10990319606637984,0.06687904118008604,0.9810053549477566,0.9391764733763978,0.99587572746984
Cifar100,0.5958,0.173,0.89207956,0.9017221651223357,0.8699938922085252
All,0.09466963354983562,0.06673328522171437,0.9838794803945151,0.8488399029226243,0.9991310481494285
