,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0001,0.99999996,0.9999999200319872,0.9999999800009999
Gaussian,0.0,0.0,1.0,1.0,1.0
TinyImageNet (Crop),0.0195,0.03165,0.99570828,0.9922260651455286,0.9977741042632332
TinyImageNet (Resize),0.021200693099582103,0.03041785750688003,0.9958999694220773,0.9923460929693025,0.9979082955618701
LSUN (Crop),0.0326,0.039650000000000005,0.9933776200000001,0.9883542435603181,0.9965714190616313
LSUN (Resize),0.0081,0.021150000000000002,0.9979771,0.996325672701372,0.9989544873488309
iSUN,0.00907563025210084,0.021028571428571428,0.9979081680672268,0.9965224429070155,0.9988071088262578
SVHN,0.037876459741856175,0.03957931776275354,0.9925775891210817,0.9632757626223122,0.9985904852996335
Cifar100,0.5824,0.1923,0.88114356,0.8902703411559639,0.866970669239514
All,0.048001363162537086,0.045839796327479754,0.9902196315451849,0.8616122777509181,0.9995005139265594
