,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0494,0.0406,0.9844016600000001,0.9820444861991332,0.9883590506974739
Gaussian,0.0008,0.01705,0.99770486,0.9965669020036881,0.9987039055164161
TinyImageNet (Crop),0.2399,0.09215000000000001,0.96421124,0.950776674364678,0.9777171911119048
TinyImageNet (Resize),0.22688818672918154,0.09294132096626236,0.9651458770767507,0.9516004126836939,0.9784982283115795
LSUN (Crop),0.1663,0.07944999999999999,0.9744697,0.9627801672352944,0.985345577885266
LSUN (Resize),0.1824,0.08175,0.9723230199999999,0.9612412565432468,0.983427695665918
iSUN,0.18252100840336136,0.08235574229691876,0.972416268907563,0.9643050228182737,0.9816315155605955
SVHN,0.03353564843269822,0.039107406269207126,0.9937116011063307,0.9717825827521812,0.9987780296264144
Cifar100,0.5708,0.1757,0.8936388,0.9020155076208853,0.8746756268618979
All,0.14002485766979392,0.07771181942105684,0.9764199001683908,0.829747183766164,0.9986468942026112
