,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0,1.0,1.0,1.0
Gaussian,0.0,0.0,1.0,1.0,1.0
TinyImageNet (Crop),0.0217,0.03445,0.9956402400000001,0.9922678781104189,0.9977620005194132
TinyImageNet (Resize),0.023035368463969013,0.034202446233819184,0.9957315869941903,0.9921130405946589,0.9978351901752482
LSUN (Crop),0.0382,0.04345,0.9923803600000001,0.9873153291058877,0.9959710563911557
LSUN (Resize),0.0096,0.02325,0.99788492,0.9960917597087336,0.9989320228272777
iSUN,0.009299719887955181,0.02364173669467787,0.9978417254901961,0.9963858548712612,0.9987863104352781
SVHN,0.07390903503380455,0.05981739397664413,0.9864673632452368,0.9448917211722159,0.9972935230168904
Cifar100,0.5276,0.1649,0.90242324,0.9098164893664857,0.8857727052787763
All,0.055789431481036,0.05247549514874509,0.9895532615668351,0.8704410717289737,0.9994585969338564
