,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,1.0,0.37474999999999997,0.5231597,0.5348812672243877,0.6156681192276685
Gaussian,1.0,0.48855000000000004,0.20484004,0.25609738088033684,0.4982017045304535
TinyImageNet (Crop),0.8571,0.27795000000000003,0.77483228,0.6815210370642677,0.8359164480402583
TinyImageNet (Resize),0.9407807562939557,0.32008348792172053,0.7151791662419733,0.6066850555359367,0.7740552918400201
LSUN (Crop),0.3381,0.13515,0.9383136599999999,0.9011438554783497,0.9651164857003782
LSUN (Resize),0.9632,0.30755,0.7257805399999999,0.6433465633383119,0.7707439533218856
iSUN,0.9374789915966386,0.30501204481792715,0.7336079551820728,0.6635973646223677,0.7678519528144152
SVHN,0.08508758451137062,0.05860159803318992,0.9834094806392132,0.9530828730994937,0.9961257476425837
Cifar100,0.6072,0.19019999999999998,0.8781129599999999,0.886670862922798,0.8526707711791397
All,0.6458182984524096,0.3086446956940101,0.7539894194531311,0.14466025633546975,0.9838297439415107
