,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0005,0.9998203400000001,0.9998702970703175,0.9997745883149151
Gaussian,0.0,0.0001,0.99992904,0.9999169864295742,0.9999561887538132
TinyImageNet (Crop),0.0369,0.04295,0.99205088,0.9868864646538372,0.9954769814421779
TinyImageNet (Resize),0.037508918560799104,0.041996840281316894,0.9925911731729692,0.9873735770469293,0.9958040566214745
LSUN (Crop),0.0449,0.0467,0.9916126800000001,0.9856339226397403,0.9955989122896964
LSUN (Resize),0.0178,0.0323,0.9953233,0.9922968534729826,0.997216158005068
iSUN,0.01815126050420168,0.031108683473389357,0.9955325490196079,0.9931749542308693,0.997131537814262
SVHN,0.029271665642286417,0.03169277811923786,0.9942391979102643,0.9700313240966165,0.9989148897575002
Cifar100,0.625,0.20289999999999997,0.8693280800000001,0.8804740109656617,0.8530130857858427
All,0.05425587362681421,0.050333052682222754,0.9886885333974822,0.8510791864597937,0.9994129732473983
