,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0005,0.99982278,0.9998699964256934,0.9997875465946697
Gaussian,0.0,0.0001,0.9999329800000001,0.999919746138187,0.9999591956958592
TinyImageNet (Crop),0.0354,0.04235,0.9922237599999999,0.9871483295613219,0.9955781515831125
TinyImageNet (Resize),0.03598002242381001,0.04133624503108756,0.9927790643155641,0.9876670023070999,0.9959121339433794
LSUN (Crop),0.0435,0.0464,0.9916902,0.9857656375409561,0.995639184754523
LSUN (Resize),0.0172,0.0317,0.99547772,0.992538960926455,0.9973059176094429
iSUN,0.017366946778711485,0.030489915966386553,0.9956659047619049,0.9933696602423604,0.9972161561089017
SVHN,0.029233251382913338,0.0318159496004917,0.9942454978488015,0.9700844106366526,0.9989159441755191
Cifar100,0.6242,0.20329999999999998,0.8692183600000001,0.8803836679185528,0.8528475032173283
imagenet_a,0.42373333333333335,0.1436,0.9276358933333334,0.9141568491862812,0.9429714351570839
imagenet_o,0.592,0.18814999999999998,0.8869148,0.9542836296477255,0.7428555754264803
All,0.088891532745177,0.06891497236153311,0.9826970146795037,0.7980333251428668,0.9991706167638006
