,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0005,0.99981812,0.9998691406594677,0.999765072072728
Gaussian,0.0,0.0001,0.99992784,0.9999161710037174,0.9999552546768127
TinyImageNet (Crop),0.0359,0.04265,0.99217118,0.9870959543961904,0.9955302454875379
TinyImageNet (Resize),0.03608194883294261,0.04159106105391907,0.992730771582917,0.9876181743404395,0.9958664590401276
LSUN (Crop),0.0438,0.0463,0.99169754,0.985779708060871,0.9956420661671554
LSUN (Resize),0.0174,0.032,0.9954291,0.9924816339886794,0.9972597856970735
iSUN,0.017591036414565827,0.03077422969187675,0.995624268907563,0.9933243081304104,0.9971741090634145
SVHN,0.02915642286416718,0.03173912108174554,0.9942660341118623,0.9701616693440798,0.9989199244473146
Cifar100,0.6252,0.2036,0.8689884400000001,0.8801207871474022,0.8526474494112634
imagenet_a,0.4252,0.1441,0.9274614133333332,0.9139016676773275,0.9428442092256465
imagenet_o,0.5945,0.18855,0.8866969,0.9541728779769507,0.7425010721120846
All,0.08918439067247502,0.06910716037632243,0.9826581981916023,0.7976006616665607,0.9991684692281124
