,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.3644,0.16420421020282727,0.8998992893362016,0.900259782020568,0.8789049648728755
Gaussian,0.0862,0.06542105101413645,0.9785023509526737,0.982370261236752,0.9710742362448119
TinyImageNet (Crop),0.2287,0.12608736939151813,0.9283803933620159,0.9126236371050314,0.9301749031755417
TinyImageNet (Resize),0.21343390072367752,0.119094611262887,0.9335857745188613,0.9194921152947425,0.9339366508503961
LSUN (Crop),0.3218,0.16775743700061463,0.8848151083282113,0.8509810098977637,0.8913923356218227
LSUN (Resize),0.2321,0.12876846957590657,0.9256998271358329,0.9107208872204392,0.928489090975225
iSUN,0.217703081232493,0.1241570168325474,0.9285604186358009,0.9207868034510719,0.9253541027347065
Cifar10,0.3502,0.1694,0.8880073063921327,0.930990735497242,0.8195728605668199
Cifar100,0.3544,0.17035304240934235,0.8818098263675476,0.9225622135359042,0.814923808858762
All,0.2526417394838448,0.13489519628320457,0.9204032097779522,0.5600765614165814,0.9860285437940193
