,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.1334,0.07397830362630609,0.9574625307314073,0.9491957072459245,0.9462775191207957
Gaussian,0.133,0.07460755992624463,0.9568163913644745,0.9457598246491142,0.9472030480829912
TinyImageNet (Crop),0.1703,0.09268435771358328,0.9379736247695143,0.9118166031718397,0.9353847198732222
TinyImageNet (Resize),0.18509835898481297,0.09883946650076113,0.9298334128112914,0.8983868223950567,0.9287363992033804
LSUN (Crop),0.21,0.106439827904118,0.9245738590964966,0.8974512986171137,0.9210364837422538
LSUN (Resize),0.2277,0.11703678549477567,0.9066007798094653,0.8615647516955967,0.9117316628199184
iSUN,0.2019047619047619,0.10634208446746862,0.9154093302963471,0.8809918694092188,0.9123399125022779
Cifar10,0.1972,0.10436299938537186,0.9211315150583897,0.9370408095582574,0.8784341894000893
Cifar100,0.211,0.11143927473878304,0.9152829824830977,0.932047566496024,0.8694419245385103
All,0.18292775858565333,0.09743624669282969,0.9310730571962953,0.5573521458562389,0.987567259470818
