,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.004500583896742471,0.9998631760909649,0.9998978680199666,0.9998191813765507
Gaussian,0.0,0.0034505838967424708,0.9999234019668101,0.999942196953908,0.9998996213140354
TinyImageNet (Crop),0.0035,0.016525507068223727,0.9984591349108789,0.9988890749155952,0.9979162977387424
TinyImageNet (Resize),0.005300173274895526,0.019016636306963753,0.9982713152585087,0.9987576744879457,0.9976647981194962
LSUN (Crop),0.0104,0.02479499078057775,0.9969222034419175,0.997745225275247,0.9959444383836764
LSUN (Resize),0.0065,0.02013159188690842,0.9981200138291333,0.9986010526462079,0.9975609774750471
iSUN,0.003473389355742297,0.015706770723040293,0.9987312835398449,0.9991636316678518,0.9981250666739477
Cifar10,0.0296,0.0384821143208359,0.9922718346650277,0.9971290452969441,0.9790697534485959
Cifar100,0.0398,0.04461745543945912,0.9905848801475108,0.9964036660316925,0.9757730701828581
All,0.008052225157488315,0.02159049600154475,0.9976996476332819,0.9893374878253962,0.999603907372684
