,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.007143853718500307,0.9997108405039951,0.9997860601335384,0.9996151894370081
Gaussian,0.0001,0.006613982790411801,0.9997525353411186,0.9998154995300701,0.9996735255303499
TinyImageNet (Crop),0.0163,0.03203881376767056,0.9949546327596804,0.9964345961673264,0.9929800689588064
TinyImageNet (Resize),0.018652532871266947,0.03265040159443726,0.994909427390965,0.9964263504881041,0.992922568205536
LSUN (Crop),0.0358,0.04272719729563614,0.9922626613398893,0.9943046674207496,0.9897271432284139
LSUN (Resize),0.0305,0.03979791026429011,0.9923828672403197,0.9943079825281766,0.9898800620748378
iSUN,0.018487394957983194,0.03359201947527628,0.9948856653909257,0.9967344326651776,0.9921564939918299
Cifar10,0.0596,0.05167775046097112,0.9864639366933005,0.9947553818461186,0.9636432585394757
Cifar100,0.0632,0.053989305470190534,0.9846678088506453,0.9936559907889848,0.9610174054760816
All,0.022721499695183906,0.03568530913822539,0.9942936529073935,0.9753583402258152,0.9989879405144545
