,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0212,0.03494121081745544,0.9916579287031346,0.9947105958948765,0.9859606826516232
Gaussian,0.0184,0.03355522433927474,0.9923326521204672,0.9951049007482178,0.9873679392334109
TinyImageNet (Crop),0.0481,0.0451039643515673,0.9879586508912108,0.9921141709859107,0.9809130544423955
TinyImageNet (Resize),0.052797879930690045,0.047869895449314734,0.9869573272276886,0.991566216325515,0.979007351716149
LSUN (Crop),0.0619,0.05141551936078672,0.9873798555623846,0.991354304563226,0.9815715071130778
LSUN (Resize),0.084,0.05742523048555624,0.9827218807621391,0.9883536839752098,0.9730738107465791
iSUN,0.06509803921568627,0.0493355473719912,0.9860859463637944,0.9917553182929313,0.9752680985616682
Cifar10,0.0932,0.05796668715427167,0.9804850799016596,0.9929214927687036,0.9404307043396019
Cifar100,0.1074,0.0650977873386601,0.9776338045482483,0.9914492948150093,0.935522943073152
All,0.056365576102418206,0.04890304222199379,0.9867780876774364,0.9595334739264186,0.9972333615406102
