,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0964,0.05807095881991395,0.9778234403810695,0.9865077508565956,0.9539043453285084
Gaussian,0.184,0.07573488014751076,0.9645195835894286,0.9785697500403706,0.9172887379779544
TinyImageNet (Crop),0.2046,0.08701413644744929,0.9606889213275968,0.9734835625877831,0.9306358144891556
TinyImageNet (Resize),0.2532871266945266,0.09648992807954795,0.9529657624994385,0.9684436357258146,0.9115924761199548
LSUN (Crop),0.1367,0.07788862937922557,0.9718640903503379,0.9794138795564519,0.9607241404491894
LSUN (Resize),0.3364,0.12017135832821144,0.9349310233558696,0.9536787106831701,0.879035661926475
iSUN,0.29042016806722687,0.10497303900048034,0.9454700011535039,0.9653103582182072,0.8899018256732898
Cifar10,0.2322,0.09483546404425322,0.9557202519975415,0.983250838544711,0.858830761536129
Cifar100,0.2364,0.09633300553165336,0.9532429778733866,0.9811196842187407,0.8634148911886859
All,0.21592410079252183,0.09078961965995738,0.9580236943148583,0.8708100650454271,0.9898178080377269
