,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.002443884449907806,0.9999326290719115,0.999951380700971,0.9999083018749577
Gaussian,0.0,0.0014798709280885065,0.9999816533497234,0.9999861279669633,0.9999759106360171
TinyImageNet (Crop),0.0014,0.011853595574677321,0.9992004840196681,0.9994240659666016,0.9989094477286535
TinyImageNet (Resize),0.0019366017735195189,0.012352010935381852,0.9992090523180679,0.9994285646268793,0.9989301591199158
LSUN (Crop),0.0056,0.019385248924400737,0.9979836278426552,0.9985227016199829,0.9973239376678655
LSUN (Resize),0.0008,0.010174953902888752,0.9994902274124156,0.9996205053801153,0.9993317706569406
iSUN,0.0006722689075630252,0.007729357877139792,0.9996204283803258,0.999749077596246,0.9994367722452426
Cifar10,0.0192,0.03220104486785495,0.9943467271051014,0.9979007218424533,0.9844953407263136
Cifar100,0.028,0.037407744314689614,0.9927041180086048,0.9971660696604384,0.9813037303545206
All,0.0043055273318431215,0.01691883885863765,0.9986028345117766,0.9931042081597279,0.9997616981351729
