,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0112,0.029054671173939766,0.993884488322065,0.9961337697398297,0.9891233569541645
Gaussian,0.0108,0.028581499692685926,0.9944862707437001,0.996471980051106,0.9905006220521473
TinyImageNet (Crop),0.0362,0.04271681007990166,0.9898420175169024,0.9932868252655147,0.9835979493311744
TinyImageNet (Resize),0.045357252064009784,0.046311567043677435,0.988540068323897,0.9925176706256014,0.9810936893603497
LSUN (Crop),0.0455,0.04676496619545176,0.9903900660725262,0.9932158644529845,0.9865478594770185
LSUN (Resize),0.0655,0.055010018438844496,0.9854858942839582,0.9900209703354187,0.9772788292356829
iSUN,0.04627450980392157,0.04764705451941072,0.9885284820750673,0.9930783714705802,0.9795500689735711
Cifar10,0.0924,0.06124351567301783,0.9794670405654577,0.9924912976720128,0.9338784732668628
Cifar100,0.107,0.06803921327596804,0.9774495082974801,0.9915222437081752,0.9321096114341159
All,0.04504927860191018,0.04668605703364542,0.9887047021254818,0.9628592651412864,0.9976418110494304
