,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.003185955746773202,0.9999097341733252,0.9999345916679336,0.9998775180210882
Gaussian,0.0,0.0013835279655808235,0.9999747080516288,0.9999809328759071,0.9999667753159047
TinyImageNet (Crop),0.0014,0.012512138905961893,0.9991170559311617,0.9993641973850519,0.9987960776122176
TinyImageNet (Resize),0.0021404545917847314,0.013183040848809557,0.9991123882435186,0.9993598214985481,0.9987977913378581
LSUN (Crop),0.0061,0.019984634296250768,0.9978674170251998,0.9984387067125271,0.9971702110650646
LSUN (Resize),0.0011,0.011185925015365705,0.9993901505838968,0.9995466656569796,0.9991997187480568
iSUN,0.000784313725490196,0.008707322511057282,0.9995525179955204,0.9997044491371941,0.9993353660939164
Cifar10,0.0198,0.03311567301782422,0.9940728027043639,0.9978038119297893,0.9836816442755778
Cifar100,0.029,0.03799612784265519,0.9924277658266748,0.9970740162233273,0.9804821472251388
All,0.004546840073155862,0.017361488843955768,0.9985062914610152,0.9927260929049802,0.9997446533562716
