,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.6621,0.16561490473263674,0.8895167102028273,0.9246262797204988,0.7766633826663814
Gaussian,0.9683,0.26785703749231715,0.7717047556853103,0.8273645047220228,0.6209453268701259
TinyImageNet (Crop),0.7817,0.2532743392747388,0.8005256684081131,0.8274487262660964,0.7017502233340087
TinyImageNet (Resize),0.8582203648965447,0.2803495319372652,0.7651359464625115,0.7983898707284168,0.6458011064329442
LSUN (Crop),0.5334,0.19983872157344806,0.8620290488629379,0.8721588420048514,0.8142393491289913
LSUN (Resize),0.9372,0.33110583896742474,0.699807360172096,0.7309683391243541,0.5786407760419376
iSUN,0.9073389355742297,0.3034690508040955,0.7337179493801208,0.7841257028754038,0.5869687784145146
Cifar10,0.6242,0.1974281499692686,0.8643182083589429,0.9389588436260028,0.6536941372764419
Cifar100,0.61,0.1980477566072526,0.8636848494161032,0.9365156543957869,0.6645045340929666
All,0.781294452347084,0.2535057949092902,0.7992663100887695,0.4087085710328463,0.9468508765372975
