,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0009262138905961894,0.9999902965580825,0.9999927008653449,0.9999871940283414
Gaussian,0.0,0.0007725568531038721,0.9999956207744315,0.9999966586429235,0.9999942793323588
TinyImageNet (Crop),0.0006,0.00815178242163491,0.9995999001229257,0.9997070509276493,0.999463235403445
TinyImageNet (Resize),0.0006115584547956376,0.008793298441966817,0.999592591935961,0.999702721953761,0.9994526584805468
LSUN (Crop),0.0031,0.016021266133988937,0.9985474800245853,0.9989352495631441,0.9980711385149899
LSUN (Resize),0.0005,0.00850543945912723,0.9996465196681008,0.999734254329708,0.9995399884945738
iSUN,0.0003361344537815126,0.006487270999364712,0.9997683523317132,0.9998452665590721,0.9996587463937823
Cifar10,0.0082,0.023727904118008604,0.9969859250153659,0.9988712233553455,0.9920198338402848
Cifar100,0.0136,0.02705169022741242,0.9959434388444991,0.9984286321796867,0.9898868583764252
All,0.00203210729526519,0.012238544166859116,0.9991919891133005,0.9958829599093391,0.9998634091677246
