,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0038158266748617086,0.9998974108789183,0.9999230770100045,0.999864845680556
Gaussian,0.0001,0.0031091272280270436,0.9999436770129072,0.9999571578770177,0.9999268231976379
TinyImageNet (Crop),0.003,0.01569382298709281,0.9986372848801475,0.9990132624216185,0.9981666644055562
TinyImageNet (Resize),0.004382835592702069,0.01825399325055472,0.9984671571120733,0.9988937592264026,0.9979391747411663
LSUN (Crop),0.0097,0.02443644744929318,0.9970174938537184,0.99781509644625,0.9960707600678793
LSUN (Resize),0.0062,0.019484665027658266,0.9983046250768284,0.9987331538880642,0.9978111482279688
iSUN,0.003137254901960784,0.014922534471686646,0.9988716580670376,0.999253285852616,0.9983403056624225
Cifar10,0.0266,0.03669065765212047,0.9929164874001228,0.9973614505707058,0.9810035529767209
Cifar100,0.0366,0.04257357098955132,0.9913705439459127,0.996705374002484,0.9779456947644076
imagenet_a,0.018666666666666668,0.03266240524482688,0.9942205593116163,0.9968343900555159,0.9895424550673073
imagenet_o,0.0545,0.05210341118623233,0.9873677012907192,0.9979580519520235,0.9340570353764511
All,0.009361258443265788,0.023557083516288234,0.9973448535501246,0.9865810248189874,0.9995910690210736
