,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0000 ± 0.0000,0.0003 ± 0.0002,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
Gaussian,0.0000 ± 0.0000,0.0002 ± 0.0002,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
TinyImageNet (Crop),0.1427 ± 0.0230,0.0860 ± 0.0068,0.9751 ± 0.0037,0.9582 ± 0.0055,0.9869 ± 0.0021
TinyImageNet (Resize),0.1499 ± 0.0285,0.0884 ± 0.0087,0.9743 ± 0.0048,0.9578 ± 0.0070,0.9862 ± 0.0027
LSUN (Crop),0.2582 ± 0.0158,0.1256 ± 0.0035,0.9513 ± 0.0026,0.9215 ± 0.0039,0.9738 ± 0.0015
LSUN (Resize),0.1654 ± 0.0360,0.0942 ± 0.0118,0.9705 ± 0.0066,0.9505 ± 0.0101,0.9846 ± 0.0037
iSUN,0.1755 ± 0.0347,0.0985 ± 0.0106,0.9680 ± 0.0063,0.9505 ± 0.0088,0.9815 ± 0.0039
SVHN,0.1559 ± 0.0117,0.0915 ± 0.0037,0.9715 ± 0.0019,0.9006 ± 0.0044,0.9940 ± 0.0005
Cifar10,0.8615 ± 0.0055,0.3363 ± 0.0020,0.7051 ± 0.0028,0.7004 ± 0.0038,0.6694 ± 0.0028
imagenet_a,0.5958 ± 0.0123,0.2053 ± 0.0015,0.8708 ± 0.0019,0.8430 ± 0.0023,0.8943 ± 0.0017
imagenet_o,0.7405 ± 0.0104,0.2762 ± 0.0025,0.7955 ± 0.0037,0.9062 ± 0.0019,0.5933 ± 0.0070
All,0.2106 ± 0.0134,0.1187 ± 0.0035,0.9528 ± 0.0022,0.5582 ± 0.0054,0.9976 ± 0.0001
