,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.00020006249023742556,1.6134633556340182e-06,3.187941654526689e-06,8.089280237377763e-07
Gaussian,0.0,0.00018848076824970765,6.838596347172136e-07,1.359118415188599e-06,3.4237091608651875e-07
TinyImageNet (Crop),0.02301412826939139,0.006771521247105425,0.003683907249586482,0.005494457158577964,0.00208371880722318
TinyImageNet (Resize),0.02848845140963153,0.008681646337243066,0.004777716480715458,0.007041467867347631,0.0027218298078102287
LSUN (Crop),0.015813108486316025,0.0034998607115141146,0.0026270353435886317,0.003939833751176829,0.0014988223223890331
LSUN (Resize),0.03604460569905017,0.011783649689294075,0.006644450656579205,0.010083124943206262,0.003685830926962171
iSUN,0.034651513403436474,0.010630997570617896,0.006289676815210555,0.008783327609057182,0.003905530254148734
SVHN,0.011684555009996307,0.003671611428573322,0.0019383467384353913,0.004439285308283471,0.00046570381770834004
Cifar10,0.005478138369920935,0.001981438871123716,0.002758214604036453,0.003797334801909463,0.002817532264030565
imagenet_a,0.012260759447204811,0.0015340614213402552,0.0018928718429288456,0.002272901131983837,0.0016950002675509446
imagenet_o,0.010394710193170377,0.002488096662109418,0.0037160503139892906,0.0019419581611272636,0.0070151894814689635
All,0.013405480309831708,0.003499158060131491,0.0021759873281034523,0.005376518618023151,0.00012514323975704005
