,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.00039999999999999996,0.9999991,0.9999982045040279,0.9999995498597212
Gaussian,0.0,0.00145,0.9999781999999999,0.9999579672240302,0.9999890067873314
TinyImageNet (Crop),0.1249,0.0814,0.9782019600000001,0.9622934172713205,0.9888035598753868
TinyImageNet (Resize),0.13138314137192947,0.08326303129140761,0.9773792273978186,0.9607499778275691,0.9882635454321828
LSUN (Crop),0.2765,0.13125,0.94902756,0.9193660420908263,0.9724844953491707
LSUN (Resize),0.1665,0.0958,0.9719422600000001,0.9529883359369486,0.9854037376668002
iSUN,0.1603361344537815,0.09673165266106443,0.971598924369748,0.9550795688109699,0.9838379280837155
SVHN,0.1097879532882606,0.07595267363245237,0.9802147741241548,0.9254270295027381,0.995987823721093
Cifar10,0.8564,0.3101,0.74104236,0.7529836296428885,0.6960246432859795
imagenet_a,0.6112,0.2064666666666667,0.8696843733333334,0.8420233672664932,0.8930256652105133
imagenet_o,0.7155,0.2546,0.8170215999999999,0.9192518043076534,0.6216844772307416
All,0.1972581176556723,0.11582810703957243,0.9575623018633085,0.6119610467789018,0.9978963626863698
