,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0000 ± 0.0000,0.0005 ± 0.0001,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
Gaussian,0.0000 ± 0.0000,0.0014 ± 0.0003,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
TinyImageNet (Crop),0.1327 ± 0.0184,0.0841 ± 0.0064,0.9771 ± 0.0029,0.9608 ± 0.0042,0.9882 ± 0.0016
TinyImageNet (Resize),0.1401 ± 0.0237,0.0864 ± 0.0080,0.9758 ± 0.0040,0.9589 ± 0.0057,0.9874 ± 0.0022
LSUN (Crop),0.2740 ± 0.0109,0.1311 ± 0.0036,0.9490 ± 0.0022,0.9191 ± 0.0034,0.9726 ± 0.0012
LSUN (Resize),0.1759 ± 0.0290,0.0977 ± 0.0084,0.9703 ± 0.0050,0.9510 ± 0.0071,0.9844 ± 0.0028
iSUN,0.1680 ± 0.0240,0.0981 ± 0.0079,0.9704 ± 0.0043,0.9538 ± 0.0058,0.9830 ± 0.0027
SVHN,0.1042 ± 0.0090,0.0746 ± 0.0036,0.9811 ± 0.0014,0.9279 ± 0.0041,0.9962 ± 0.0003
Cifar10,0.8509 ± 0.0051,0.3111 ± 0.0019,0.7398 ± 0.0020,0.7487 ± 0.0031,0.6971 ± 0.0019
imagenet_a,0.6090 ± 0.0079,0.2061 ± 0.0016,0.8696 ± 0.0017,0.8431 ± 0.0020,0.8928 ± 0.0016
imagenet_o,0.7185 ± 0.0078,0.2567 ± 0.0026,0.8147 ± 0.0022,0.9179 ± 0.0011,0.6193 ± 0.0039
All,0.1983 ± 0.0106,0.1158 ± 0.0029,0.9572 ± 0.0017,0.6083 ± 0.0047,0.9979 ± 0.0001
