,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.00047499999999996,0.999998604,0.9999972173848828,0.9999993018081745
Gaussian,0.0,0.001375,0.99997404,0.9999516882945285,0.999986752346469
TinyImageNet (Crop),0.13271,0.084125,0.97706456,0.9607588953974773,0.9881576088491822
TinyImageNet (Resize),0.14007746407094074,0.08644842625624297,0.9758352074202424,0.9589093179690551,0.9873525671670305
LSUN (Crop),0.27403000000000005,0.13106,0.9490287380000002,0.9191466312548637,0.9725631810115658
LSUN (Resize),0.17594,0.09774999999999999,0.9703234640000001,0.9510312683486172,0.9844297565057654
iSUN,0.16799999999999995,0.09814084033613442,0.9703586554621848,0.9538125344961156,0.9829961409579335
SVHN,0.10417562999385369,0.07460205285802084,0.9811299669637371,0.9279173378840089,0.9961906417857114
Cifar10,0.8508799999999999,0.31113,0.7398449640000001,0.748678399834543,0.6970534138058186
imagenet_a,0.6090266666666666,0.2061433333333333,0.8696469013333333,0.8430904292871265,0.8928265428802614
imagenet_o,0.7185,0.25672,0.81472903,0.9179055730524912,0.619263204521883
All,0.19833345535746966,0.11582252699784013,0.9571885110004759,0.6082698510868895,0.9978764076908743
