,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.003,0.9997395800000001,0.999621556034404,0.9998534618613812
Gaussian,0.0,0.00285,0.9998118999999999,0.9997008740689065,0.9998985877914771
TinyImageNet (Crop),0.08,0.06,0.9852119399999998,0.9772026221337455,0.99156945020909
TinyImageNet (Resize),0.06278666802568546,0.054540271124248293,0.9875011517684231,0.9802238733459745,0.9929254267186935
LSUN (Crop),0.0726,0.05805,0.9863709799999999,0.9778207885400766,0.9925546771931394
LSUN (Resize),0.0411,0.044649999999999995,0.99126508,0.9861931758079678,0.9950953122635497
iSUN,0.04526610644257703,0.04613501400560224,0.9905241680672268,0.9863407761111842,0.9940656515211446
SVHN,0.03034726490473264,0.03871047940995698,0.9941094883220651,0.9745582294708521,0.9988403950193356
Cifar100,0.471,0.1664,0.9062743600000001,0.9102068049491473,0.8951792616690868
imagenet_a,0.3469333333333333,0.12413333333333332,0.9407856266666667,0.9279029138606936,0.9522290235275788
imagenet_o,0.4185,0.1496,0.9228501,0.9671853761708548,0.8241905933879257
All,0.08731742138595014,0.066592616319508,0.9834939707874218,0.8265186534795834,0.9991860321128989
