,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0006018508652481952,6.323209587039584e-05,7.744532905954609e-05,4.404680807695716e-05
Gaussian,0.0,0.0007065861164783807,6.080692102516045e-05,8.227604287356911e-05,3.823711782020443e-05
TinyImageNet (Crop),0.01475359193633876,0.0043782688652023215,0.002185304055649923,0.0029077890870038876,0.0013887385852438482
TinyImageNet (Resize),0.012890760726359802,0.004681985085019808,0.0021086547310742738,0.002920515227856287,0.001321033177678898
LSUN (Crop),0.007763193573781348,0.0021658310405015422,0.0011076842827209554,0.0015717880218938647,0.0006512487437855682
LSUN (Resize),0.008317229457938502,0.004020032388426737,0.0015830431550762894,0.002201829250314042,0.0009747976044071244
iSUN,0.009909118611902095,0.004199516200063143,0.0017252525727918754,0.0022173192041634445,0.0011828810403832109
SVHN,0.0028899007544629183,0.001913012027527876,0.00047512325482670204,0.0016383077070000868,9.943913529498541e-05
Cifar100,0.009639661789917734,0.0017727330492772926,0.001363507021518964,0.001442084323989186,0.0018112371797953108
imagenet_a,0.011743425594187671,0.0018802940143617028,0.0014132976138647424,0.001467873276790153,0.0013041286315323068
imagenet_o,0.009609798249703264,0.0031290173825020526,0.002100560268297052,0.0009747395835116629,0.004878591840558523
All,0.00585136622223718,0.0018517125987990454,0.0008959958328566131,0.003483128182809863,5.0143012236248714e-05
