,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0005037333461266825,5.861984489718014e-05,7.646338158625911e-05,0.00015440058334658448
Gaussian,0.0,0.0004081438226899924,4.685369474775754e-05,4.6002741087910695e-05,0.00014716882604500186
TinyImageNet (Crop),0.005390894398520526,0.002112551338074419,0.0010032780431471944,0.0013761553888972102,0.0006368115073670846
TinyImageNet (Resize),0.004301673651636957,0.002378161369532344,0.0010028399996656453,0.0014210823434197062,0.0006465177083319723
LSUN (Crop),0.0024869920916641445,0.0008451953170717418,0.00035899549635381615,0.0005546670589685029,0.00019571560942596556
LSUN (Resize),0.0040625273237234975,0.0022676552021857303,0.00084594083831973,0.0011845663715325026,0.0005665792031194061
iSUN,0.0031416972469821927,0.0021518904358897605,0.0007128759588206641,0.0009405664317629435,0.0005248683288997981
SVHN,0.00043419372380543983,0.00036029582107376,6.0272794558437364e-05,0.0002270004635422838,1.1817091379116366e-05
Cifar100,0.0024154644307047865,0.0015560597880544364,0.0014852329574955617,0.001347525553613562,0.001657627157703408
imagenet_a,0.004048761014104606,0.0014681855171908304,0.0012143296854767115,0.001359597165688115,0.0009905992191701495
imagenet_o,0.00633302963833266,0.0024702687983294475,0.002410845444649563,0.0010401137693817704,0.004899295157309814
All,0.002133596957258769,0.0009573278075394947,0.0005415359259432991,0.0029760723701444786,2.9062131138165947e-05
