,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0008127268913970785,9.457766630657557e-05,0.0001233665527607946,0.0002491109772621786
Gaussian,0.0,0.0006585020880756567,7.559407765162357e-05,7.422114308612756e-05,0.00023744320963026312
TinyImageNet (Crop),0.008697706594269546,0.00340840505222018,0.0016186957871335817,0.002220298695525498,0.0010274361242270831
TinyImageNet (Resize),0.0069403502499522885,0.0038369421281365156,0.0016179890447275181,0.0022927841570693193,0.001043096176510945
LSUN (Crop),0.004012530373716814,0.0013636440151300507,0.000579205835826904,0.0008949036986772419,0.0003157689282826382
LSUN (Resize),0.006554509897772678,0.0036586507075696655,0.0013648468443074456,0.0019111876396346683,0.0009141228350716839
iSUN,0.005068836234257289,0.0034718750268082584,0.0011501590403314795,0.0015175164362593075,0.000846826219902929
SVHN,0.0007005311800894194,0.0005813037887926403,9.724454681023711e-05,0.0003662441299528729,1.9065777589973488e-05
Cifar100,0.0038971271470148367,0.0025105577069647386,0.00239628520491532,0.0021741071197439767,0.002674427209027497
imagenet_a,0.006532299237889628,0.00236878074591598,0.0019592079777868876,0.0021935835427978434,0.0015982396841642877
imagenet_o,0.010217754156369184,0.003985548895698061,0.003889674842721437,0.0016781268045660707,0.00790455695231222
All,0.0034423602008890994,0.0015445593567551623,0.0008737178371372923,0.004801615903649105,4.68890449260745e-05
