,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0007227314747807669,1.6201504347155493e-05,1.1307346178890313e-05,2.3032181487001435e-05
Gaussian,0.0,0.00020532457511567693,1.6397526072841494e-06,1.2415964889340383e-06,2.1522357478326047e-06
TinyImageNet (Crop),0.0008868483523128404,0.003888787387973497,0.0004784406694918531,0.00034465371532986885,0.0006470839778002565
TinyImageNet (Resize),0.001477194660237888,0.00368885205384778,0.0004761011014894677,0.0003434082155065935,0.0006420136928943898
LSUN (Crop),0.003868862882036529,0.005147444490763185,0.0008937032779937482,0.0006502865502663773,0.0011729035306597701
LSUN (Resize),0.0020616498247762642,0.00507893868167179,0.0005855723788170876,0.0004280952253213991,0.0007842233436265854
iSUN,0.00125615183854757,0.003939863503588597,0.0004386215712397912,0.0002896717018838172,0.0006492689408887
Cifar10,0.015169508891193543,0.0070318835061584225,0.0027554848880641906,0.0009926610033464723,0.007702185686171529
Cifar100,0.01716013985956991,0.005430629849055178,0.002657727028427694,0.0009879075675482013,0.006913678209732447
imagenet_a,0.009536232659354191,0.005835520390126358,0.0018739084761886973,0.0010109399852214628,0.0033744825436184066
imagenet_o,0.015125227271019764,0.0051492081788145835,0.0030806051608346678,0.0005014316515807348,0.015118419656316875
All,0.004038176224234112,0.004796827666380508,0.0008553746293098247,0.003817826553440019,0.0001340497273990779
