,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0018871850030731407,0.9999561078672403,0.9999695148228727,0.9999376283498409
Gaussian,0.0,0.0005073140749846343,0.9999956130915796,0.9999966792117417,0.9999942418090192
TinyImageNet (Crop),0.0025,0.015949907805777503,0.9986655731407499,0.9990342378148247,0.9981818193545479
TinyImageNet (Resize),0.0032616450922434,0.01563925117730641,0.9987734453450483,0.9991154901570256,0.998330774966494
LSUN (Crop),0.0112,0.02685534726490473,0.9966938153042411,0.9975722749279421,0.9956295813737914
LSUN (Resize),0.0037,0.016150522433927474,0.9987253534111863,0.9990704602998406,0.9982758893867052
iSUN,0.002689075630252101,0.01375569650109583,0.998977031500984,0.999325943226756,0.9984703202503817
Cifar10,0.0404,0.04407412415488629,0.989810786724032,0.9963315568352966,0.9705138288542177
Cifar100,0.0712,0.05472464658881376,0.9860782728948985,0.9947886283399135,0.9634075559424812
imagenet_a,0.03133333333333333,0.04047088711329645,0.9922000512190126,0.9957854899367528,0.9855803262084515
imagenet_o,0.1015,0.06789535955746773,0.9808134219422249,0.9969208110503575,0.9010509061555467
All,0.013894555510222584,0.028501074798203498,0.9966201259429055,0.9832325797506075,0.9994782515651073
