,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0004152107898405339,0.003646453683640021,0.00046507108202116287,0.00032771520293789627,0.0006413181715233256
Gaussian,0.00035791060336346566,0.004003042200440997,0.0004459409195634504,0.00031718522832203494,0.0006090593095530463
TinyImageNet (Crop),0.013828481478455975,0.009258246025755031,0.0031707583902451262,0.002094473255489439,0.004920189964880878
TinyImageNet (Resize),0.014103109026799862,0.008731175522137842,0.003158130657163412,0.0020680034986788366,0.0049035616634263875
LSUN (Crop),0.021545693305159618,0.01102627766221291,0.0039333697321192315,0.002761556283673752,0.005564164313184198
LSUN (Resize),0.023857946265343124,0.011751877133211736,0.00460067202065851,0.0030580045184307545,0.0071553108976989774
iSUN,0.017811070130058646,0.010862276406658362,0.003691388349192852,0.002207647367715503,0.0063307412788797925
Cifar10,0.02539339284144598,0.008468887094683035,0.004464573381014697,0.0016094050566550708,0.014253462730879166
Cifar100,0.025934540674552153,0.007647278721493882,0.004638738144908125,0.0017529798020630783,0.0139185557166559
imagenet_a,0.023489519175817788,0.009087827129352062,0.004362186858712842,0.0022886325038589117,0.009259870091306169
imagenet_o,0.030545867150892934,0.006935915330461977,0.0049539329104491565,0.0008140469525591622,0.029252294453064938
All,0.015761374909152262,0.008620228176979553,0.003152437638957367,0.010619603561066586,0.0005590033952249281
