,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.004623755377996312,0.9998610479409957,0.9998965141316225,0.9998159529064148
Gaussian,0.0,0.003674370006146282,0.999919606637984,0.9999395297320013,0.9998942783363891
TinyImageNet (Crop),0.0043,0.016975507068223726,0.9983747771972956,0.9988306439776119,0.9977973483152808
TinyImageNet (Resize),0.006013658138823769,0.019641511130746026,0.9981639150817067,0.9986831951742834,0.9975146707601082
LSUN (Crop),0.0104,0.025312661339889367,0.9967505762138906,0.9976232744410342,0.9957121263536475
LSUN (Resize),0.0073,0.021212692071296866,0.9979412492317147,0.9984697438020926,0.9973277584799807
iSUN,0.004369747899159664,0.01659831295763542,0.9986079361062188,0.9990839629247912,0.9979398461573133
Cifar10,0.0296,0.039098586355255066,0.9920886293792257,0.9970581546582458,0.978594606241822
Cifar100,0.0408,0.04509366933005532,0.9904552858020897,0.9963586621881719,0.9753984080765333
imagenet_a,0.021733333333333334,0.03477541487400123,0.9935879328006556,0.996501267531586,0.9882982023877934
imagenet_o,0.0655,0.05486862323294407,0.9861268054701906,0.997749677138513,0.927465491583102
All,0.010925245931365882,0.024883523939388898,0.9969957529317434,0.9851081623062059,0.9995347557911485
