,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,SVHN,Cifar10,All
Max_out,0.49555901999999996,0.15432608,0.84477273,0.7806690857201102,0.89692066,0.79260119,0.7705359775910363,0.8778937154271665,0.7437930800000001,0.7311990758559859
Max_relu_0,0.0017077,0.00014350999999999996,0.07890711,0.025678605646723064,0.5302325099999999,0.00988354,0.02300420168067227,0.9111048862937924,0.49228598,0.32921679596664266
Max_relu_1,3.732e-05,0.0,0.06223674,0.018193619406788295,0.5323593200000001,0.004542439999999995,0.014828246498599441,0.9309985172095883,0.47310655999999995,0.32980398624809554
Max_relu_2,0.00010245999999999999,0.0,0.47870615000000005,0.4675465803689736,0.65001753,0.47229941,0.4888620056022409,0.8230136332206515,0.54623704,0.49231541676689916
Max_relu_3,5.71599999999999e-05,0.0,0.057619109999999994,0.019826154316583428,0.5044068,0.008035079999999997,0.017307092436974786,0.9297499654271666,0.52167162,0.32938187494988375
Max_relu_4,1.9999999999997797e-08,0.0,0.03342236,0.008739333401284277,0.46949669000000005,0.002342539999999991,0.007684212885154061,0.9299285341118624,0.48997233999999995,0.3193879861278165
Max_relu_5,0.0,0.0,0.5131229399999999,0.5143859545408216,0.69718744,0.51322684,0.5360054117647058,0.8906335087584512,0.51987142,0.5297308726244888
Max_relu_6,0.002066539999999999,8.232e-05,0.20177003000000002,0.10378178575068801,0.72881982,0.08481005,0.11807288515406161,0.9585295328826061,0.49480748,0.3976622704674846
Max_relu_7,4.439999999999956e-06,0.0,0.03550363,0.009443807970645193,0.49759645,0.002378099999999991,0.006439058823529403,0.9717087277197294,0.46926972,0.3322389764253067
Max_relu_8,0.00017155999999999996,1.319999999999988e-06,0.12160843,0.07438251962083375,0.5726731500000001,0.05549943999999999,0.06850242016806724,0.9113123578672404,0.49508756000000004,0.3512089156843878
Max_relu_9,1.6199999999999994e-05,0.0,0.43342837000000006,0.41848391601263885,0.70590679,0.39238887999999994,0.42588450420168067,0.9628944299323907,0.50551468,0.509359799735386
Max_relu_10,3.2000000000000917e-07,0.0,0.023409640000000002,0.005799551523799814,0.44219433999999996,0.0022058899999999916,0.005475675070028008,0.9850163068531039,0.49202155999999997,0.32962396760484325
Max_relu_11,0.0033589799999999993,0.00033235999999999986,0.1082986,0.05844348180613597,0.58643316,0.026746059999999995,0.04335102521008403,0.9690190381069452,0.46225114,0.35831877756394837
Max_relu_12,0.0002775199999999995,5.079999999999973e-06,0.46230782,0.3649133319743146,0.83663775,0.24962225999999998,0.29862963585434177,0.9678148163798401,0.50127838,0.49549440401732014
Max_relu_13,1.8279999999999988e-05,0.0,0.47541276,0.44047207216389767,0.7529573,0.41027073,0.4403089075630252,0.9696248924400738,0.49026897999999997,0.5245212823751102
Max_relu_14,0.004063109999999999,0.0004178999999999999,0.17991615,0.09578881867291815,0.72299377,0.05424988,0.07944849299719887,0.9783075714505226,0.46781332000000003,0.3916249629139604
Max_relu_15,0.02455763,0.01141532,0.17428327999999998,0.12527789216185914,0.6599346300000001,0.08273941,0.09524138935574229,0.9663129263982789,0.49582474,0.39333869878117234
Max_relu_16,0.00029681999999999994,2.7999999999996916e-07,0.045569200000000004,0.014604494954642753,0.54775388,0.009558549999999989,0.015474128851540613,0.9762870851259988,0.5019538600000001,0.3431726936492663
Max_relu_17,0.0006101199999999998,0.00018818000000000003,0.52465817,0.48229332382020185,0.70617125,0.4850407,0.5131017030812325,0.8749337469268592,0.49884214,0.5186871812605245
Max_relu_18,0.41141252,0.26704328,0.56659542,0.5402338599531138,0.7625045699999999,0.51783952,0.5404874509803921,0.8172644476029503,0.5182374599999999,0.5938201968567076
Max_relu_19,0.6203606500000001,0.47630428,0.65054561,0.6272575578432371,0.8100313699999999,0.67250901,0.6859826778711484,0.9223935732944069,0.5227963600000001,0.7136522712693449
Max_relu_20,0.02543471,0.007583899999999999,0.27919048,0.18580182448272348,0.67638214,0.13413282999999998,0.16309887955182073,0.6665084242470807,0.44880403999999996,0.34179664120760167
Max_relu_21,0.05656409,0.004915790000000001,0.42352672999999996,0.3728137396799511,0.47851526,0.32910849,0.3445476414565826,0.29749843653964353,0.44776146,0.2971128367813327
Max_relu_22,0.0821611,0.01720713,0.38173281000000003,0.310452522678626,0.75876686,0.23948444000000002,0.2668414565826331,0.9358988322065149,0.47835229999999995,0.47085250781813803
Max_relu_23,0.52743085,0.42079564,0.55892281,0.5328660686983998,0.7704234299999999,0.40854879,0.4389700280112045,0.9024670751382915,0.45570564,0.6192218226284981
Max_relu_24,0.18202777,0.08823182000000002,0.38566427000000003,0.3277923351340333,0.6012785199999999,0.33967178,0.3471399887955182,0.8482602258758452,0.49489322,0.46948232800096223
Max_relu_25,0.43896125999999996,0.21330762,0.6540666700000001,0.6253477831006014,0.8447965800000001,0.59913812,0.6254329971988795,0.9628119199446834,0.45259438,0.6670161865528025
Max_relu_26,0.56491448,0.40788559999999996,0.59378204,0.5636407297930894,0.8047300900000002,0.4989540800000001,0.5305295574229693,0.8319151160110634,0.50246988,0.6328309888942347
Max_relu_27,0.6011136499999999,0.5506578900000001,0.51016114,0.47896445826113543,0.72665359,0.53392457,0.531362050420168,0.696118926705593,0.53331716,0.5959284409830807
