,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.9843,0.15375,0.86425111,0.8737430926742281,0.8410259061260217
Gaussian,1.0,0.39325,0.46084231999999997,0.4916723652732348,0.5865780680940829
TinyImageNet (Crop),0.729,0.25575,0.8163274599999999,0.7246785011092758,0.8749938103497192
TinyImageNet (Resize),0.7474263581694017,0.27047036999286517,0.8005229436346957,0.7148938107353924,0.8628715290507055
LSUN (Crop),0.8201,0.3083,0.75121905,0.6210236698256447,0.8287851421398378
LSUN (Resize),0.7669,0.28095,0.78483412,0.6727105757258913,0.8564175442257672
iSUN,0.7905882352941176,0.279293837535014,0.7816191708683474,0.6964567813782991,0.8344977977028609
SVHN,0.8121158574062692,0.2653619545175169,0.794580339582053,0.4989211481099963,0.9358384256196663
Cifar10,0.8262,0.2877,0.76844242,0.778313471486342,0.7196319955536395
All,0.8285622644535322,0.3028045545665945,0.7630838525378879,0.2193180123124864,0.9802216654694353
