,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0,1.0,1.0,1.0
Gaussian,0.0,0.00025,0.99999964,0.9999992809584249,0.9999998199849789
TinyImageNet (Crop),0.1184,0.079,0.97942346,0.9641059029462264,0.9894902084281605
TinyImageNet (Resize),0.12842727550708388,0.08375252267862603,0.9771302211803079,0.9602797728680584,0.9881800323801901
LSUN (Crop),0.2703,0.1298,0.9490848999999999,0.9189979759160049,0.9724921914826237
LSUN (Resize),0.1506,0.09065,0.9739226200000001,0.9556461051651332,0.9865349876257716
iSUN,0.14946778711484593,0.09143165266106443,0.9739722801120448,0.9585205952571249,0.9852547123410097
SVHN,0.33036263060848187,0.1381116779348494,0.9400773125384142,0.8336690259868713,0.9861597288288195
Cifar10,0.854,0.3089,0.7399220400000001,0.749869443875391,0.6969911633186628
All,0.209055007617673,0.11739723358191004,0.9569735406142249,0.6428804172548837,0.9976335833195573
