,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.1849,0.08095,0.9706337999999999,0.9621341251966231,0.9794377463625746
Gaussian,0.9424,0.1783,0.8304718600000001,0.8409306352649547,0.8273011000462143
TinyImageNet (Crop),0.6202,0.22465,0.8615763200000001,0.8113911070898618,0.9110263609621752
TinyImageNet (Resize),0.6876974824176945,0.24484970950973398,0.8357656711854041,0.7844946694689315,0.8899583864943923
LSUN (Crop),0.4477,0.17404999999999998,0.91211198,0.8735505113452738,0.9488601213663925
LSUN (Resize),0.7093,0.24330000000000002,0.83349116,0.7816301219887671,0.8879001945263443
iSUN,0.735686274509804,0.24594873949579832,0.8288119215686275,0.7926011168328052,0.8700374146443767
SVHN,0.11931468961278427,0.07923709280885063,0.9790327443146895,0.9241940696649431,0.9957052841287605
Cifar10,0.8304,0.3017,0.7528486400000001,0.7586177477398979,0.7127952033321392
All,0.4973137679416246,0.19571976585678774,0.8913691584475985,0.5116426220775762,0.9930417405185288
