,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0003,0.99999964,0.9999992809105911,0.999999819987982
Gaussian,0.0,0.0008500000000000001,0.99998554,0.9999720608795206,0.9999927097276341
TinyImageNet (Crop),0.1512,0.094,0.9732476800000002,0.9545855421258331,0.986198775368119
TinyImageNet (Resize),0.16063602079298747,0.09944674345122821,0.9714502293344205,0.9526116514004583,0.9849846147140235
LSUN (Crop),0.2924,0.14150000000000001,0.94208376,0.9084217282626706,0.9687659537641466
LSUN (Resize),0.2044,0.1118,0.9646124199999998,0.9426751309577258,0.9813994285311798
iSUN,0.1884593837535014,0.11039887955182073,0.9652231708683473,0.9466927956268436,0.9799917483348495
SVHN,0.3447295636140135,0.1438821450522434,0.9357314766441304,0.824105479115754,0.9852383982801193
Cifar10,0.8412,0.309,0.7440902,0.7531290926886994,0.7030565609640949
All,0.229712934006896,0.12751169914200947,0.952451870339187,0.6346600794056103,0.9973582736230675
