,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.9497,0.18914999999999998,0.8392851600000002,0.8400599409789659,0.8325240669247362
Gaussian,1.0,0.41645,0.43101755999999997,0.4510945518239701,0.574986405024617
TinyImageNet (Crop),0.8897,0.3214,0.72823236,0.637664038262669,0.7998809820786448
TinyImageNet (Resize),0.9441443277953318,0.3567824482723474,0.6727371317908469,0.5796983568123655,0.745859288687909
LSUN (Crop),0.7633,0.27254999999999996,0.8015458,0.7389545949315013,0.8651329255769706
LSUN (Resize),0.9491,0.353,0.6756116000000001,0.5792534290707343,0.747988396889008
iSUN,0.9575350140056023,0.3535078431372549,0.6670728515406162,0.6020836268029819,0.7154535058312101
SVHN,0.6164336201598033,0.21091087891825447,0.8704163414259373,0.7118732127374112,0.9646971944738885
Cifar10,0.8172,0.2976,0.7596213199999999,0.760086123161136,0.7216336569188844
All,0.8365407745970652,0.3235393953973218,0.7393909750621442,0.23701305517539853,0.9786631863544031
